Nome da Origem;Data;Temp. Ins. (C)
temperatura_historico_DF_01.csv;22/01/2019;27,5
temperatura_historico_DF_01.csv;22/01/2019;28,4
temperatura_historico_DF_01.csv;22/01/2019;29,2
temperatura_historico_DF_01.csv;22/01/2019;29,4
temperatura_historico_DF_01.csv;22/01/2019;29,9
temperatura_historico_DF_01.csv;22/01/2019;30,2
temperatura_historico_DF_01.csv;22/01/2019;30,4
temperatura_historico_DF_01.csv;22/01/2019;29,7
temperatura_historico_DF_01.csv;22/01/2019;28,3
temperatura_historico_DF_01.csv;22/01/2019;27,1
temperatura_historico_DF_01.csv;22/01/2019;26,2
temperatura_historico_DF_01.csv;23/01/2019;25,3
temperatura_historico_DF_01.csv;23/01/2019;25,1
temperatura_historico_DF_01.csv;23/01/2019;24,3
temperatura_historico_DF_01.csv;23/01/2019;24
temperatura_historico_DF_01.csv;23/01/2019;23,9
temperatura_historico_DF_01.csv;23/01/2019;22,8
temperatura_historico_DF_01.csv;23/01/2019;19,7
temperatura_historico_DF_01.csv;23/01/2019;22,9
temperatura_historico_DF_01.csv;23/01/2019;22,4
temperatura_historico_DF_01.csv;23/01/2019;22,2
temperatura_historico_DF_01.csv;23/01/2019;23,2
temperatura_historico_DF_01.csv;23/01/2019;24,3
temperatura_historico_DF_01.csv;23/01/2019;24,8
temperatura_historico_DF_01.csv;23/01/2019;26
temperatura_historico_DF_01.csv;23/01/2019;27,5
temperatura_historico_DF_01.csv;23/01/2019;27,9
temperatura_historico_DF_01.csv;23/01/2019;29,1
temperatura_historico_DF_01.csv;23/01/2019;29,9
temperatura_historico_DF_01.csv;23/01/2019;30,3
temperatura_historico_DF_01.csv;23/01/2019;29,5
temperatura_historico_DF_01.csv;23/01/2019;28,9
temperatura_historico_DF_01.csv;23/01/2019;28,4
temperatura_historico_DF_01.csv;23/01/2019;27,1
temperatura_historico_DF_01.csv;23/01/2019;26,3
temperatura_historico_DF_01.csv;24/01/2019;25,3
temperatura_historico_DF_01.csv;24/01/2019;24,7
temperatura_historico_DF_01.csv;24/01/2019;24,3
temperatura_historico_DF_01.csv;24/01/2019;23,5
temperatura_historico_DF_01.csv;24/01/2019;22,4
temperatura_historico_DF_01.csv;24/01/2019;20,9
temperatura_historico_DF_01.csv;24/01/2019;21,8
temperatura_historico_DF_01.csv;24/01/2019;21,9
temperatura_historico_DF_01.csv;24/01/2019;19,3
temperatura_historico_DF_01.csv;24/01/2019;19,3
temperatura_historico_DF_01.csv;24/01/2019;22,7
temperatura_historico_DF_01.csv;24/01/2019;22,7
temperatura_historico_DF_01.csv;24/01/2019;24,1
temperatura_historico_DF_01.csv;24/01/2019;25,9
temperatura_historico_DF_01.csv;24/01/2019;26,9
temperatura_historico_DF_01.csv;24/01/2019;26,5
temperatura_historico_DF_01.csv;24/01/2019;28,6
temperatura_historico_DF_01.csv;24/01/2019;29,3
temperatura_historico_DF_01.csv;24/01/2019;30
temperatura_historico_DF_01.csv;24/01/2019;29,4
temperatura_historico_DF_01.csv;24/01/2019;28,6
temperatura_historico_DF_01.csv;24/01/2019;28,6
temperatura_historico_DF_01.csv;24/01/2019;27,4
temperatura_historico_DF_01.csv;24/01/2019;27
temperatura_historico_DF_01.csv;25/01/2019;26,3
temperatura_historico_DF_01.csv;25/01/2019;22
temperatura_historico_DF_01.csv;25/01/2019;21,6
temperatura_historico_DF_01.csv;25/01/2019;21,6
temperatura_historico_DF_01.csv;25/01/2019;20,5
temperatura_historico_DF_01.csv;25/01/2019;19,8
temperatura_historico_DF_01.csv;25/01/2019;19,7
temperatura_historico_DF_01.csv;25/01/2019;19,3
temperatura_historico_DF_01.csv;25/01/2019;19
temperatura_historico_DF_01.csv;25/01/2019;18,2
temperatura_historico_DF_01.csv;25/01/2019;20,1
temperatura_historico_DF_01.csv;25/01/2019;22,4
temperatura_historico_DF_01.csv;25/01/2019;25,1
temperatura_historico_DF_01.csv;25/01/2019;26,3
temperatura_historico_DF_01.csv;25/01/2019;27,1
temperatura_historico_DF_01.csv;25/01/2019;23,3
temperatura_historico_DF_01.csv;25/01/2019;23,7
temperatura_historico_DF_01.csv;25/01/2019;23,6
temperatura_historico_DF_01.csv;25/01/2019;24,1
temperatura_historico_DF_01.csv;25/01/2019;24,9
temperatura_historico_DF_01.csv;25/01/2019;24,3
temperatura_historico_DF_01.csv;25/01/2019;23,8
temperatura_historico_DF_01.csv;25/01/2019;22
temperatura_historico_DF_01.csv;25/01/2019;21,2
temperatura_historico_DF_01.csv;26/01/2019;20,3
temperatura_historico_DF_01.csv;26/01/2019;20,7
temperatura_historico_DF_01.csv;26/01/2019;19,9
temperatura_historico_DF_01.csv;26/01/2019;20,1
temperatura_historico_DF_01.csv;26/01/2019;20,4
temperatura_historico_DF_01.csv;26/01/2019;20,6
temperatura_historico_DF_01.csv;26/01/2019;20
temperatura_historico_DF_01.csv;26/01/2019;19,7
temperatura_historico_DF_01.csv;26/01/2019;18,1
temperatura_historico_DF_01.csv;26/01/2019;19,9
temperatura_historico_DF_01.csv;26/01/2019;19,9
temperatura_historico_DF_01.csv;26/01/2019;20,8
temperatura_historico_DF_01.csv;26/01/2019;21,9
temperatura_historico_DF_01.csv;26/01/2019;23,9
temperatura_historico_DF_01.csv;26/01/2019;24,5
temperatura_historico_DF_01.csv;26/01/2019;23,3
temperatura_historico_DF_01.csv;26/01/2019;19,6
temperatura_historico_DF_01.csv;26/01/2019;19,2
temperatura_historico_DF_01.csv;26/01/2019;19,7
temperatura_historico_DF_01.csv;26/01/2019;21
temperatura_historico_DF_01.csv;26/01/2019;19,5
temperatura_historico_DF_01.csv;26/01/2019;18,7
temperatura_historico_DF_01.csv;26/01/2019;18,6
temperatura_historico_DF_01.csv;26/01/2019;18,2
temperatura_historico_DF_01.csv;27/01/2019;18,1
temperatura_historico_DF_01.csv;27/01/2019;17,9
temperatura_historico_DF_01.csv;27/01/2019;18,2
temperatura_historico_DF_01.csv;27/01/2019;18,2
temperatura_historico_DF_01.csv;27/01/2019;17,8
temperatura_historico_DF_01.csv;27/01/2019;17,4
temperatura_historico_DF_01.csv;27/01/2019;17,2
temperatura_historico_DF_01.csv;27/01/2019;17,3
temperatura_historico_DF_01.csv;27/01/2019;17,3
temperatura_historico_DF_01.csv;27/01/2019;17,3
temperatura_historico_DF_01.csv;27/01/2019;17,3
temperatura_historico_DF_01.csv;27/01/2019;17,9
temperatura_historico_DF_01.csv;27/01/2019;18,5
temperatura_historico_DF_01.csv;27/01/2019;19,6
temperatura_historico_DF_01.csv;27/01/2019;20,4
temperatura_historico_DF_01.csv;27/01/2019;21,6
temperatura_historico_DF_01.csv;27/01/2019;22,8
temperatura_historico_DF_01.csv;27/01/2019;22,9
temperatura_historico_DF_01.csv;27/01/2019;23,3
temperatura_historico_DF_01.csv;27/01/2019;24,4
temperatura_historico_DF_01.csv;27/01/2019;24,3
temperatura_historico_DF_01.csv;27/01/2019;23,5
temperatura_historico_DF_01.csv;27/01/2019;22,5
temperatura_historico_DF_01.csv;27/01/2019;21
temperatura_historico_DF_01.csv;28/01/2019;20,6
temperatura_historico_DF_01.csv;28/01/2019;20,7
temperatura_historico_DF_01.csv;28/01/2019;20,5
temperatura_historico_DF_01.csv;28/01/2019;20
temperatura_historico_DF_01.csv;28/01/2019;20,3
temperatura_historico_DF_01.csv;28/01/2019;18,4
temperatura_historico_DF_01.csv;28/01/2019;20,2
temperatura_historico_DF_01.csv;28/01/2019;19,7
temperatura_historico_DF_01.csv;28/01/2019;19,9
temperatura_historico_DF_01.csv;28/01/2019;19,7
temperatura_historico_DF_01.csv;28/01/2019;19,7
temperatura_historico_DF_01.csv;28/01/2019;20,8
temperatura_historico_DF_01.csv;28/01/2019;21,4
temperatura_historico_DF_01.csv;28/01/2019;22,7
temperatura_historico_DF_01.csv;28/01/2019;24,3
temperatura_historico_DF_01.csv;28/01/2019;25,8
temperatura_historico_DF_01.csv;28/01/2019;27,3
temperatura_historico_DF_01.csv;28/01/2019;27,9
temperatura_historico_DF_01.csv;28/01/2019;28
temperatura_historico_DF_01.csv;28/01/2019;28,1
temperatura_historico_DF_01.csv;28/01/2019;27,9
temperatura_historico_DF_01.csv;28/01/2019;26,9
temperatura_historico_DF_01.csv;28/01/2019;25,6
temperatura_historico_DF_01.csv;28/01/2019;24,3
temperatura_historico_DF_01.csv;29/01/2019;22,9
temperatura_historico_DF_01.csv;29/01/2019;22,2
temperatura_historico_DF_01.csv;29/01/2019;20,4
temperatura_historico_DF_01.csv;29/01/2019;20,1
temperatura_historico_DF_01.csv;29/01/2019;21,5
temperatura_historico_DF_01.csv;29/01/2019;20,6
temperatura_historico_DF_01.csv;29/01/2019;20
temperatura_historico_DF_01.csv;29/01/2019;20,8
temperatura_historico_DF_01.csv;29/01/2019;20,7
temperatura_historico_DF_01.csv;29/01/2019;18,7
temperatura_historico_DF_01.csv;29/01/2019;21,7
temperatura_historico_DF_01.csv;29/01/2019;22,4
temperatura_historico_DF_01.csv;29/01/2019;24
temperatura_historico_DF_01.csv;29/01/2019;25
temperatura_historico_DF_01.csv;29/01/2019;25,3
temperatura_historico_DF_01.csv;29/01/2019;26,4
temperatura_historico_DF_01.csv;29/01/2019;27,5
temperatura_historico_DF_01.csv;29/01/2019;27,5
temperatura_historico_DF_01.csv;29/01/2019;28,2
temperatura_historico_DF_01.csv;29/01/2019;27,9
temperatura_historico_DF_01.csv;29/01/2019;28,3
temperatura_historico_DF_01.csv;29/01/2019;27,5
temperatura_historico_DF_01.csv;29/01/2019;25,9
temperatura_historico_DF_01.csv;29/01/2019;24,6
temperatura_historico_DF_01.csv;30/01/2019;23,6
temperatura_historico_DF_01.csv;30/01/2019;22,9
temperatura_historico_DF_01.csv;30/01/2019;22,7
temperatura_historico_DF_01.csv;30/01/2019;20
temperatura_historico_DF_01.csv;30/01/2019;19,2
temperatura_historico_DF_01.csv;30/01/2019;18,5
temperatura_historico_DF_01.csv;30/01/2019;20,8
temperatura_historico_DF_01.csv;30/01/2019;20,6
temperatura_historico_DF_01.csv;30/01/2019;19,2
temperatura_historico_DF_01.csv;30/01/2019;20,5
temperatura_historico_DF_01.csv;30/01/2019;21,4
temperatura_historico_DF_01.csv;30/01/2019;22,7
temperatura_historico_DF_01.csv;30/01/2019;23,8
temperatura_historico_DF_01.csv;30/01/2019;25,6
temperatura_historico_DF_01.csv;30/01/2019;26,1
temperatura_historico_DF_01.csv;30/01/2019;27,1
temperatura_historico_DF_01.csv;30/01/2019;28,4
temperatura_historico_DF_01.csv;30/01/2019;27,9
temperatura_historico_DF_01.csv;30/01/2019;27,9
temperatura_historico_DF_01.csv;30/01/2019;28,9
temperatura_historico_DF_01.csv;30/01/2019;28,6
temperatura_historico_DF_01.csv;30/01/2019;27,5
temperatura_historico_DF_01.csv;30/01/2019;26,1
temperatura_historico_DF_01.csv;30/01/2019;25
temperatura_historico_DF_01.csv;31/01/2019;24,1
temperatura_historico_DF_01.csv;31/01/2019;23,4
temperatura_historico_DF_01.csv;31/01/2019;23,1
temperatura_historico_DF_01.csv;31/01/2019;22,4
temperatura_historico_DF_01.csv;31/01/2019;21,9
temperatura_historico_DF_01.csv;31/01/2019;18,7
temperatura_historico_DF_01.csv;31/01/2019;18,2
temperatura_historico_DF_01.csv;31/01/2019;19,5
temperatura_historico_DF_01.csv;31/01/2019;21,4
temperatura_historico_DF_01.csv;31/01/2019;20,7
temperatura_historico_DF_01.csv;31/01/2019;22,5
temperatura_historico_DF_01.csv;31/01/2019;24,1
temperatura_historico_DF_01.csv;31/01/2019;25,5
temperatura_historico_DF_01.csv;31/01/2019;26,9
temperatura_historico_DF_01.csv;31/01/2019;27,3
temperatura_historico_DF_01.csv;31/01/2019;28,7
temperatura_historico_DF_01.csv;31/01/2019;29
temperatura_historico_DF_01.csv;31/01/2019;29,8
temperatura_historico_DF_01.csv;31/01/2019;30
temperatura_historico_DF_01.csv;31/01/2019;29,6
temperatura_historico_DF_01.csv;31/01/2019;29,4
temperatura_historico_DF_01.csv;31/01/2019;28,1
temperatura_historico_DF_01.csv;31/01/2019;26,8
temperatura_historico_DF_01.csv;31/01/2019;25,4
temperatura_historico_DF_01.csv;01/02/2019;24,5
temperatura_historico_DF_01.csv;01/02/2019;24
temperatura_historico_DF_01.csv;01/02/2019;22,9
temperatura_historico_DF_01.csv;01/02/2019;19,7
temperatura_historico_DF_01.csv;01/02/2019;18,7
temperatura_historico_DF_01.csv;01/02/2019;18,2
temperatura_historico_DF_01.csv;01/02/2019;19
temperatura_historico_DF_01.csv;01/02/2019;17,5
temperatura_historico_DF_01.csv;01/02/2019;17,3
temperatura_historico_DF_01.csv;01/02/2019;17,4
temperatura_historico_DF_01.csv;01/02/2019;21,3
temperatura_historico_DF_01.csv;01/02/2019;25
temperatura_historico_DF_01.csv;01/02/2019;26,2
temperatura_historico_DF_01.csv;01/02/2019;27
temperatura_historico_DF_01.csv;01/02/2019;28,2
temperatura_historico_DF_01.csv;01/02/2019;29,1
temperatura_historico_DF_01.csv;01/02/2019;30,1
temperatura_historico_DF_01.csv;01/02/2019;30,5
temperatura_historico_DF_01.csv;01/02/2019;29,9
temperatura_historico_DF_01.csv;01/02/2019;30,5
temperatura_historico_DF_01.csv;01/02/2019;29,5
temperatura_historico_DF_01.csv;01/02/2019;29,5
temperatura_historico_DF_01.csv;01/02/2019;28
temperatura_historico_DF_01.csv;01/02/2019;26,7
temperatura_historico_DF_01.csv;02/02/2019;25,7
temperatura_historico_DF_01.csv;02/02/2019;25,6
temperatura_historico_DF_01.csv;02/02/2019;24,6
temperatura_historico_DF_01.csv;02/02/2019;23,8
temperatura_historico_DF_01.csv;02/02/2019;23,8
temperatura_historico_DF_01.csv;02/02/2019;20,1
temperatura_historico_DF_01.csv;02/02/2019;19,1
temperatura_historico_DF_01.csv;02/02/2019;20
temperatura_historico_DF_01.csv;02/02/2019;21,3
temperatura_historico_DF_01.csv;02/02/2019;19,3
temperatura_historico_DF_01.csv;02/02/2019;21,4
temperatura_historico_DF_01.csv;02/02/2019;25,6
temperatura_historico_DF_01.csv;02/02/2019;26,4
temperatura_historico_DF_01.csv;02/02/2019;27,2
temperatura_historico_DF_01.csv;02/02/2019;27,7
temperatura_historico_DF_01.csv;02/02/2019;28,4
temperatura_historico_DF_01.csv;02/02/2019;29,3
temperatura_historico_DF_01.csv;02/02/2019;29,5
temperatura_historico_DF_01.csv;02/02/2019;30
temperatura_historico_DF_01.csv;02/02/2019;29,8
temperatura_historico_DF_01.csv;02/02/2019;29,3
temperatura_historico_DF_01.csv;02/02/2019;29,2
temperatura_historico_DF_01.csv;02/02/2019;27,2
temperatura_historico_DF_01.csv;02/02/2019;26,4
temperatura_historico_DF_01.csv;03/02/2019;26,3
temperatura_historico_DF_01.csv;03/02/2019;23,3
temperatura_historico_DF_01.csv;03/02/2019;22
temperatura_historico_DF_01.csv;03/02/2019;22,1
temperatura_historico_DF_01.csv;03/02/2019;21,2
temperatura_historico_DF_01.csv;03/02/2019;22,1
temperatura_historico_DF_01.csv;03/02/2019;20,6
temperatura_historico_DF_01.csv;03/02/2019;22,2
temperatura_historico_DF_01.csv;03/02/2019;21,2
temperatura_historico_DF_01.csv;03/02/2019;19,9
temperatura_historico_DF_01.csv;03/02/2019;19,9
temperatura_historico_DF_01.csv;03/02/2019;24,2
temperatura_historico_DF_01.csv;03/02/2019;25,8
temperatura_historico_DF_01.csv;03/02/2019;27,6
temperatura_historico_DF_01.csv;03/02/2019;27,9
temperatura_historico_DF_01.csv;03/02/2019;29,2
temperatura_historico_DF_01.csv;03/02/2019;30,1
temperatura_historico_DF_01.csv;03/02/2019;31
temperatura_historico_DF_01.csv;03/02/2019;31,3
temperatura_historico_DF_01.csv;03/02/2019;31,1
temperatura_historico_DF_01.csv;03/02/2019;30,9
temperatura_historico_DF_01.csv;03/02/2019;30
temperatura_historico_DF_01.csv;03/02/2019;28,7
temperatura_historico_DF_01.csv;03/02/2019;27,3
temperatura_historico_DF_01.csv;04/02/2019;26,4
temperatura_historico_DF_01.csv;04/02/2019;23,4
temperatura_historico_DF_01.csv;04/02/2019;23,1
temperatura_historico_DF_01.csv;04/02/2019;22,6
temperatura_historico_DF_01.csv;04/02/2019;21,6
temperatura_historico_DF_01.csv;04/02/2019;21,4
temperatura_historico_DF_01.csv;04/02/2019;20,6
temperatura_historico_DF_01.csv;04/02/2019;21,1
temperatura_historico_DF_01.csv;04/02/2019;20,5
temperatura_historico_DF_01.csv;04/02/2019;20,1
temperatura_historico_DF_01.csv;04/02/2019;20,5
temperatura_historico_DF_01.csv;04/02/2019;21,4
temperatura_historico_DF_01.csv;04/02/2019;22,3
temperatura_historico_DF_01.csv;04/02/2019;23,8
temperatura_historico_DF_01.csv;04/02/2019;24,8
temperatura_historico_DF_01.csv;04/02/2019;26,3
temperatura_historico_DF_01.csv;04/02/2019;27,8
temperatura_historico_DF_01.csv;04/02/2019;27,8
temperatura_historico_DF_01.csv;04/02/2019;29
temperatura_historico_DF_01.csv;04/02/2019;26,3
temperatura_historico_DF_01.csv;04/02/2019;24,4
temperatura_historico_DF_01.csv;04/02/2019;19,2
temperatura_historico_DF_01.csv;04/02/2019;19,4
temperatura_historico_DF_01.csv;04/02/2019;20
temperatura_historico_DF_01.csv;05/02/2019;19,7
temperatura_historico_DF_01.csv;05/02/2019;18,7
temperatura_historico_DF_01.csv;05/02/2019;19
temperatura_historico_DF_01.csv;05/02/2019;18,1
temperatura_historico_DF_01.csv;05/02/2019;19,8
temperatura_historico_DF_01.csv;05/02/2019;19,5
temperatura_historico_DF_01.csv;05/02/2019;18,7
temperatura_historico_DF_01.csv;05/02/2019;18,7
temperatura_historico_DF_01.csv;05/02/2019;18,5
temperatura_historico_DF_01.csv;05/02/2019;18,9
temperatura_historico_DF_01.csv;05/02/2019;20,9
temperatura_historico_DF_01.csv;05/02/2019;22,2
temperatura_historico_DF_01.csv;05/02/2019;22,4
temperatura_historico_DF_01.csv;05/02/2019;22,8
temperatura_historico_DF_01.csv;05/02/2019;24,5
temperatura_historico_DF_01.csv;05/02/2019;26,1
temperatura_historico_DF_01.csv;05/02/2019;26,5
temperatura_historico_DF_01.csv;05/02/2019;26,5
temperatura_historico_DF_01.csv;05/02/2019;21,6
temperatura_historico_DF_01.csv;05/02/2019;21,2
temperatura_historico_DF_01.csv;05/02/2019;22,1
temperatura_historico_DF_01.csv;05/02/2019;21
temperatura_historico_DF_01.csv;05/02/2019;21,1
temperatura_historico_DF_01.csv;05/02/2019;21,2
temperatura_historico_DF_01.csv;06/02/2019;21,3
temperatura_historico_DF_01.csv;06/02/2019;21,2
temperatura_historico_DF_01.csv;06/02/2019;20,8
temperatura_historico_DF_01.csv;06/02/2019;21,2
temperatura_historico_DF_01.csv;06/02/2019;21
temperatura_historico_DF_01.csv;06/02/2019;20,5
temperatura_historico_DF_01.csv;06/02/2019;19,9
temperatura_historico_DF_01.csv;06/02/2019;20,5
temperatura_historico_DF_01.csv;06/02/2019;19,7
temperatura_historico_DF_01.csv;06/02/2019;19,4
temperatura_historico_DF_01.csv;06/02/2019;19,4
temperatura_historico_DF_01.csv;06/02/2019;20,2
temperatura_historico_DF_01.csv;06/02/2019;22,7
temperatura_historico_DF_01.csv;06/02/2019;23,7
temperatura_historico_DF_01.csv;06/02/2019;24,3
temperatura_historico_DF_01.csv;06/02/2019;20,6
temperatura_historico_DF_01.csv;06/02/2019;22,9
temperatura_historico_DF_01.csv;06/02/2019;20
temperatura_historico_DF_01.csv;06/02/2019;20,2
temperatura_historico_DF_01.csv;06/02/2019;21,7
temperatura_historico_DF_01.csv;06/02/2019;19,8
temperatura_historico_DF_01.csv;06/02/2019;20,1
temperatura_historico_DF_01.csv;06/02/2019;20,3
temperatura_historico_DF_01.csv;06/02/2019;19,9
temperatura_historico_DF_01.csv;07/02/2019;19,5
temperatura_historico_DF_01.csv;07/02/2019;19,3
temperatura_historico_DF_01.csv;07/02/2019;19,7
temperatura_historico_DF_01.csv;07/02/2019;19,4
temperatura_historico_DF_01.csv;07/02/2019;19,3
temperatura_historico_DF_01.csv;07/02/2019;18,7
temperatura_historico_DF_01.csv;07/02/2019;18,5
temperatura_historico_DF_01.csv;07/02/2019;18,4
temperatura_historico_DF_01.csv;07/02/2019;18
temperatura_historico_DF_01.csv;07/02/2019;17,7
temperatura_historico_DF_01.csv;07/02/2019;19,3
temperatura_historico_DF_01.csv;07/02/2019;20,8
temperatura_historico_DF_01.csv;07/02/2019;21,9
temperatura_historico_DF_01.csv;07/02/2019;23,2
temperatura_historico_DF_01.csv;07/02/2019;25
temperatura_historico_DF_01.csv;07/02/2019;25,2
temperatura_historico_DF_01.csv;07/02/2019;25
temperatura_historico_DF_01.csv;07/02/2019;26
temperatura_historico_DF_01.csv;07/02/2019;25,9
temperatura_historico_DF_01.csv;07/02/2019;26,5
temperatura_historico_DF_01.csv;07/02/2019;21,5
temperatura_historico_DF_01.csv;07/02/2019;20,7
temperatura_historico_DF_01.csv;07/02/2019;19,9
temperatura_historico_DF_01.csv;07/02/2019;20,2
temperatura_historico_DF_01.csv;08/02/2019;20,4
temperatura_historico_DF_01.csv;08/02/2019;20,9
temperatura_historico_DF_01.csv;08/02/2019;20,6
temperatura_historico_DF_01.csv;08/02/2019;20,5
temperatura_historico_DF_01.csv;08/02/2019;19,7
temperatura_historico_DF_01.csv;08/02/2019;19,4
temperatura_historico_DF_01.csv;08/02/2019;18,6
temperatura_historico_DF_01.csv;08/02/2019;18,8
temperatura_historico_DF_01.csv;08/02/2019;18,5
temperatura_historico_DF_01.csv;08/02/2019;18,1
